"Retour au menu ""Les films les plus diffusés à la télévision""";;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Classement des films les plus diffusés sur les chaînes nationales gratuites depuis 1957;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
titre;réalisateur(s);année de production;groupe de nationalité2;année de dernière diffusion;nb. de diffusions;dont en première partie de soirée;nb. moyen de diffusions par an;;;;;;;;;;;;;;;;;;;
FANTOMAS SE DECHAINE;HUNEBELLE André;1965;FRANCE / ITALIE;2024;41;25;0,9;;;;;;;;;;;;;;;;;;;
RAMBO;KOTCHEFF Ted;1982;ETATS UNIS;2024;41;17;1,1;;;;;;;;;;;;;;;;;;;
QUATRE MARIAGES ET UN ENTERREMENT;NEWELL Mike;1994;GRANDE BRETAGNE;2024;41;27;1,5;;;;;;;;;;;;;;;;;;;
LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA);NORRINGTON Stephen;2003;ETATS UNIS;2024;41;25;2,3;;;;;;;;;;;;;;;;;;;
JURASSIC PARK;SPIELBERG Steven;1992;ETATS UNIS;2024;41;22;1,5;;;;;;;;;;;;;;;;;;;
MAGNIFIQUE (LE);DE BROCA Philippe;1973;FRANCE;2024;40;20;0,9;;;;;;;;;;;;;;;;;;;
NUIT D IVRESSE;NAUER Bernard;1986;FRANCE;2024;40;27;1,1;;;;;;;;;;;;;;;;;;;
POUR CENT BRIQUES T AS PLUS RIEN;MOLINARO Edouard;1982;FRANCE;2023;40;26;1,0;;;;;;;;;;;;;;;;;;;
HIBERNATUS;MOLINARO Edouard;1969;FRANCE / ITALIE;2024;40;22;0,9;;;;;;;;;;;;;;;;;;;
ZIZANIE (LA);ZIDI Claude;1977;FRANCE;2023;40;25;0,9;;;;;;;;;;;;;;;;;;;
TULIPE NOIRE (LA);CHRISTIAN-JAQUE;1963;FRANCE / ESPAGNE;2023;40;11;0,8;;;;;;;;;;;;;;;;;;;
VILAINE;BENES Jean-Patrick;2007;France;2024;40;30;3,1;;;;;;;;;;;;;;;;;;;
VERITE SI JE MENS (LA);GILOU Thomas;1996;FRANCE;2024;40;27;1,7;;;;;;;;;;;;;;;;;;;
CITE DE LA PEUR... (LA);BERBERIAN Alain;1993;FRANCE;2024;40;30;1,4;;;;;;;;;;;;;;;;;;;
FLIC DE BEVERLY HILLS (LE);BREST Martin;1984;ETATS UNIS;2023;39;21;1,1;;;;;;;;;;;;;;;;;;;
FANTOMAS;HUNEBELLE André;1964;FRANCE / ITALIE;2023;39;23;0,8;;;;;;;;;;;;;;;;;;;
BANDE A PICSOU LE FILM (LA);COLLECTIF;1989;FRANCE;2023;39;26;1,3;;;;;;;;;;;;;;;;;;;
TOP GUN;SCOTT Tony;1986;ETATS UNIS;2024;39;28;1,1;;;;;;;;;;;;;;;;;;;
ETUDIANTE (L');PINOTEAU Claude;1988;FRANCE / ITALIE;2024;39;18;1,1;;;;;;;;;;;;;;;;;;;
RETOUR VERS LE FUTUR II;ZEMECKIS Robert;1989;ETATS UNIS;2024;39;23;1,3;;;;;;;;;;;;;;;;;;;
DIABOLO MENTHE;KURYS Diane;1977;FRANCE;2024;39;17;0,9;;;;;;;;;;;;;;;;;;;
FLIC DE BEVERLY HILLS 2 (LE);SCOTT Tony;1987;ETATS UNIS;2023;39;20;1,2;;;;;;;;;;;;;;;;;;;
VIAGER (LE);TCHERNIA Pierre;1971;FRANCE;2023;39;26;0,8;;;;;;;;;;;;;;;;;;;
FANTOMAS CONTRE SCOTLAND YARD;HUNEBELLE André;1966;FRANCE / ITALIE;2024;39;23;0,8;;;;;;;;;;;;;;;;;;;
FILLE DE D ARTAGNAN (LA);TAVERNIER Bertrand;1993;FRANCE;2023;39;15;1,4;;;;;;;;;;;;;;;;;;;
GHOST;ZUCKER Jerry;1990;ETATS UNIS;2024;38;23;1,3;;;;;;;;;;;;;;;;;;;
PIEGE DE CRISTAL;MacTIERNAN John;1987;ETATS UNIS;2024;38;22;1,2;;;;;;;;;;;;;;;;;;;
RAMBO II;COSMATOS George P;1985;ETATS UNIS;2024;38;18;1,1;;;;;;;;;;;;;;;;;;;
GRAND BLOND AVEC UNE CHAUSSURE NOIRE (LE);ROBERT Yves;1972;FRANCE;2024;38;28;0,9;;;;;;;;;;;;;;;;;;;
CHATEAU DE MA MERE (LE);ROBERT Yves;1989;FRANCE;2024;38;20;1,2;;;;;;;;;;;;;;;;;;;
CHAOS - TONY GIGLIO -;GIGLIO Tony;2004;GRANDE BRETAGNE;2024;38;23;2,5;;;;;;;;;;;;;;;;;;;
VISITEURS EN AMERIQUE (LES);POIRE Jean-Marie;2000;FRANCE;2024;38;25;1,9;;;;;;;;;;;;;;;;;;;
